{'date': '1518-03-31 00:00', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-27 00:08', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-27 00:09', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-27 00:35', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-27 00:52', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-27 00:56', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-27 00:59', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-28 00:00', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-28 00:14', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-28 00:20', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-28 00:30', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-28 00:59', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-29 00:03', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-29 00:57', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-29 00:58', 'guardNumber': 1117, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-30 00:00', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-30 00:09', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-30 00:22', 'guardNumber': 1129, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-30 00:39', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-30 00:48', 'guardNumber': 1129, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-30 23:53', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-05-31 00:02', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-05-31 00:56', 'guardNumber': 2963, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-05-31 23:54', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-01 00:02', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-01 00:41', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-02 00:00', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-02 00:13', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-02 00:23', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-02 00:36', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-02 00:45', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-02 23:57', 'guardNumber': 3023, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-03 00:40', 'guardNumber': 3023, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-03 00:47', 'guardNumber': 3023, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-03 23:59', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-04 00:24', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-04 00:53', 'guardNumber': 277, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-05 00:00', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-05 00:53', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-05 00:54', 'guardNumber': 2333, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-06 00:02', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-06 00:45', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-06 00:46', 'guardNumber': 1657, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-07 00:03', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-07 00:32', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-07 00:37', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-07 00:51', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-07 00:53', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-08 00:00', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-08 00:30', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-08 00:35', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-09 00:03', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-09 00:41', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-09 00:53', 'guardNumber': 2963, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-09 23:56', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-10 00:13', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-10 00:38', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-10 00:50', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-10 00:57', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-11 00:00', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-11 00:07', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-11 00:31', 'guardNumber': 1217, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-12 00:00', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-12 00:40', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-12 00:41', 'guardNumber': 277, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-12 00:47', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-12 00:48', 'guardNumber': 277, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-12 23:59', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-13 00:38', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-13 00:59', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-13 23:52', 'guardNumber': 101, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-14 00:05', 'guardNumber': 101, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-14 00:54', 'guardNumber': 101, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-15 00:00', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-15 00:16', 'guardNumber': 1129, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-15 00:57', 'guardNumber': 1129, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-16 00:02', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-16 00:45', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-16 00:50', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-17 00:03', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-17 00:15', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-17 00:28', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-17 00:31', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-17 00:35', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-18 00:02', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-18 00:36', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-18 00:48', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-18 23:56', 'guardNumber': 233, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-20 00:00', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-20 00:57', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-20 00:58', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-20 23:58', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-21 00:28', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-21 00:29', 'guardNumber': 353, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-21 00:49', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-21 00:55', 'guardNumber': 353, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-22 00:02', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-22 00:09', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-22 00:46', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-22 00:49', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-22 00:59', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-22 23:57', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-23 00:24', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-23 00:54', 'guardNumber': 1217, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-23 23:58', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-24 00:31', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-24 00:36', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-25 00:00', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-25 00:46', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-25 00:57', 'guardNumber': 2333, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-25 23:58', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-26 00:11', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-26 00:29', 'guardNumber': 277, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-26 00:38', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-26 00:45', 'guardNumber': 277, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-27 00:00', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-27 00:25', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-27 00:42', 'guardNumber': 1217, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-28 00:00', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-28 00:18', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-28 00:21', 'guardNumber': 197, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-29 00:00', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-29 00:34', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-29 00:36', 'guardNumber': 2963, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-30 00:00', 'guardNumber': 3163, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-06-30 00:11', 'guardNumber': 3163, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-06-30 00:44', 'guardNumber': 3163, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-06-30 23:57', 'guardNumber': 3023, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-01 00:46', 'guardNumber': 3023, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-01 00:47', 'guardNumber': 3023, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-01 23:59', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-02 00:43', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-02 00:57', 'guardNumber': 277, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-03 00:01', 'guardNumber': 857, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-03 23:46', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-04 00:01', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-04 00:07', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-04 00:27', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-04 00:47', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-04 23:57', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-05 00:11', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-05 00:37', 'guardNumber': 1117, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-06 00:04', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-06 00:17', 'guardNumber': 1117, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-06 00:56', 'guardNumber': 1117, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-07 00:04', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-07 00:07', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-07 00:54', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-07 23:54', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-08 00:04', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-08 00:17', 'guardNumber': 197, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-08 00:55', 'guardNumber': 197, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-08 00:58', 'guardNumber': 197, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-09 00:03', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-09 00:32', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-09 00:41', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-10 00:03', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-10 00:14', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-10 00:47', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-11 00:00', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-11 00:21', 'guardNumber': 353, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-11 00:33', 'guardNumber': 353, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-11 23:56', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-12 00:26', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-12 00:30', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-12 00:43', 'guardNumber': 643, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-12 00:48', 'guardNumber': 643, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-12 23:56', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-13 00:18', 'guardNumber': 613, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-13 00:49', 'guardNumber': 613, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-13 23:58', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-14 00:25', 'guardNumber': 1217, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-14 00:48', 'guardNumber': 1217, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-14 23:52', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-15 00:05', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-15 00:24', 'guardNumber': 2963, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-15 00:45', 'guardNumber': 2963, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-15 00:59', 'guardNumber': 2963, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-16 00:00', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-16 00:07', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-16 00:27', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-16 23:58', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-17 00:13', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-17 00:58', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-17 23:48', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-18 00:02', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-18 00:13', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-18 00:47', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-18 00:52', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-18 23:59', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-19 00:24', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-19 00:33', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-19 00:36', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-19 00:43', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-19 00:46', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-19 00:57', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-19 23:58', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-20 00:23', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-20 00:41', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-20 00:48', 'guardNumber': 773, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-20 00:57', 'guardNumber': 773, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-21 00:00', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-21 00:09', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-21 00:48', 'guardNumber': 277, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-21 23:56', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-22 00:06', 'guardNumber': 277, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-22 00:21', 'guardNumber': 277, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-22 23:53', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-23 00:01', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-23 00:22', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-23 00:28', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-23 00:45', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-23 00:48', 'guardNumber': 449, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-23 00:58', 'guardNumber': 449, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-24 00:03', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-24 00:26', 'guardNumber': 2297, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-24 00:57', 'guardNumber': 2297, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-24 23:59', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-25 00:34', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-25 00:36', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-25 00:45', 'guardNumber': 1049, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-25 00:55', 'guardNumber': 1049, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-25 23:48', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-26 00:03', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-26 00:40', 'guardNumber': 1657, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-26 00:57', 'guardNumber': 1657, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-26 00:58', 'guardNumber': 1657, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-27 00:04', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-27 00:31', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-27 00:48', 'guardNumber': 2333, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-27 00:53', 'guardNumber': 2333, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-27 00:55', 'guardNumber': 2333, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-27 23:59', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-28 00:31', 'guardNumber': 2789, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-28 00:58', 'guardNumber': 2789, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-29 00:03', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': False}
{'date': '1518-07-29 00:12', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
{'date': '1518-07-29 00:37', 'guardNumber': 811, 'isWakingUpEvent': True, 'isFallingAsleepEvent': False}
{'date': '1518-07-29 00:44', 'guardNumber': 811, 'isWakingUpEvent': False, 'isFallingAsleepEvent': True}
